ID,time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),showers (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_mid (%),cloud_cover_low (%),visibility (m),evapotranspiration (mm),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (m/s),wind_speed_80m (m/s),wind_speed_120m (m/s),wind_speed_180m (m/s),wind_direction_10m (°),wind_direction_80m (°),wind_direction_120m (°),wind_direction_180m (°),wind_gusts_10m (m/s),temperature_80m (°C),temperature_120m (°C),temperature_180m (°C),cloud_cover_high (%),uv_index (),uv_index_clear_sky (),sunshine_duration (s),wet_bulb_temperature_2m (°C),freezing_level_height (m),boundary_layer_height (m),region,weather_category,precipitation_probability (%)
region 1_2025-11-17_00,2025-11-17 00:00:00,21.9,96.0,21.2,25.8,0.0,0.0,0.0,0.0,0.0,45.0,1012.4,969.2,100.0,48.0,51.0,1100.0,0.01,0.0,0.1,1.06,1.86,2.06,2.28,319.0,306.0,299.0,293.0,2.8,22.7,22.2,21.7,100.0,0.0,0.0,0.0,21.4,5000.0,80.0,region 1,Thunderstorm no hail,0
region 2_2025-11-17_00,2025-11-17 00:00:00,25.4,,24.4,31.4,0.0,0.0,0.0,0.0,0.0,3.0,1011.2,1004.9,100.0,43.0,73.0,24140.0,0.01,0.0,0.19,0.64,1.35,1.56,1.84,321.0,312.0,310.0,299.0,2.2,25.6,25.1,24.4,100.0,0.0,0.0,,24.6,5040.0,30.0,region 2,Rain shower slight,53
region 3_2025-11-17_00,2025-11-17 00:00:00,25.1,95.0,24.2,31.1,0.0,0.0,0.0,0.0,0.0,3.0,1011.2,998.6,100.0,12.0,53.0,24140.0,-0.0,0.0,0.16,,0.98,1.22,1.61,338.0,294.0,279.0,277.0,1.1,25.5,25.0,24.3,100.0,0.0,0.0,0.0,24.5,5020.0,25.0,region 3,Rain shower slight,15
region 4_2025-11-17_00,2025-11-17 00:00:00,23.7,96.0,23.0,28.5,0.0,0.0,0.0,0.0,0.0,3.0,1011.5,993.1,100.0,8.0,61.0,24140.0,-0.0,0.0,0.12,1.14,2.44,2.88,3.54,232.0,235.0,236.0,241.0,3.0,23.6,23.0,22.4,100.0,0.0,0.0,0.0,23.2,4980.0,140.0,region 4,Thunderstorm no hail,10
region 5_2025-11-17_00,2025-11-17 00:00:00,25.7,90.0,23.9,31.6,0.0,0.0,0.0,0.0,0.0,3.0,1010.8,1005.4,,22.0,60.0,24140.0,-0.0,0.0,0.33,0.28,1.2,1.81,2.3,315.0,265.0,264.0,268.0,0.4,25.6,25.1,24.4,100.0,0.0,0.0,0.0,24.3,5020.0,20.0,region 5,Thunderstorm no hail,15
region 6_2025-11-17_00,2025-11-17 00:00:00,27.1,,24.3,31.8,0.2,0.0,0.2,0.0,0.0,80.0,1010.7,1008.3,100.0,60.0,55.0,24140.0,0.1,0.02,0.54,2.97,3.42,3.64,4.09,290.0,291.0,291.0,292.0,5.3,26.0,25.3,24.6,100.0,0.0,0.0,0.0,25.0,5050.0,30.0,region 6,Thunderstorm no hail,15
region 7_2025-11-17_00,2025-11-17 00:00:00,27.1,90.0,25.3,33.6,0.0,0.0,0.0,0.0,0.0,3.0,1010.6,1002.9,100.0,36.0,55.0,24140.0,0.01,0.0,0.36,0.95,2.25,2.88,3.4,288.0,291.0,290.0,294.0,1.7,27.4,27.0,26.4,100.0,0.0,,0.0,25.8,5050.0,15.0,region 7,Thunderstorm no hail,23
region 8_2025-11-17_00,2025-11-17 00:00:00,25.2,92.0,23.9,30.6,0.0,0.0,0.0,0.0,0.0,3.0,1011.1,999.8,100.0,0.0,65.0,24140.0,0.01,0.0,0.26,1.22,2.62,3.11,3.84,215.0,220.0,222.0,231.0,2.6,24.9,24.4,23.7,100.0,0.0,,0.0,24.2,5020.0,90.0,region 8,Rain shower slight,5
region 1_2025-11-17_01,2025-11-17 01:00:00,21.8,95.0,20.9,25.6,0.0,0.0,0.0,0.0,0.0,3.0,1011.9,968.7,100.0,49.0,46.0,5440.0,0.01,0.0,0.13,1.06,1.89,2.1,2.47,319.0,302.0,295.0,291.0,2.8,22.8,22.3,21.8,100.0,0.0,0.0,0.0,21.2,5010.0,65.0,region 1,Thunderstorm no hail,0
region 2_2025-11-17_01,2025-11-17 01:00:00,25.3,,24.3,31.2,0.0,0.0,0.0,0.0,0.0,3.0,1010.7,1004.4,99.0,47.0,72.0,24140.0,0.01,0.0,0.19,,1.42,1.58,2.01,321.0,309.0,305.0,297.0,2.9,25.4,24.8,24.2,94.0,0.0,,0.0,24.5,5040.0,70.0,region 2,Rain shower slight,83
region 3_2025-11-17_01,2025-11-17 01:00:00,24.9,96.0,24.2,30.9,0.0,0.0,0.0,0.0,0.0,45.0,1010.7,998.1,100.0,15.0,54.0,24140.0,-0.0,0.0,0.13,0.5,1.04,1.4,1.81,323.0,287.0,274.0,276.0,1.2,25.3,24.9,24.2,100.0,0.0,0.0,0.0,24.4,5020.0,40.0,region 3,Rain shower slight,13
region 4_2025-11-17_01,2025-11-17 01:00:00,23.5,97.0,23.0,28.4,0.0,0.0,0.0,0.0,0.0,3.0,1011.1,992.7,100.0,6.0,57.0,24140.0,-0.0,0.0,0.09,,2.3,2.8,3.58,236.0,236.0,235.0,240.0,2.7,23.4,22.9,22.4,100.0,0.0,,0.0,23.1,4990.0,170.0,region 4,Thunderstorm no hail,8
region 5_2025-11-17_01,2025-11-17 01:00:00,25.6,91.0,24.0,31.5,0.0,0.0,0.0,0.0,0.0,3.0,1010.4,1005.0,100.0,30.0,61.0,24140.0,-0.0,0.0,0.29,0.32,1.32,1.92,2.4,288.0,261.0,261.0,268.0,0.3,25.5,25.0,24.3,100.0,0.0,0.0,0.0,24.4,5020.0,20.0,region 5,Thunderstorm no hail,13
region 6_2025-11-17_01,2025-11-17 01:00:00,26.8,86.0,24.3,31.5,0.8,0.0,0.8,0.0,0.0,80.0,1010.3,1007.9,100.0,53.0,57.0,24140.0,0.1,0.02,0.49,3.16,3.61,3.83,4.4,288.0,289.0,290.0,291.0,5.4,25.7,25.0,24.4,100.0,0.0,,0.0,24.9,5050.0,30.0,region 6,Thunderstorm no hail,13
region 7_2025-11-17_01,2025-11-17 01:00:00,27.0,91.0,25.4,33.5,0.0,0.0,0.0,0.0,0.0,3.0,1010.2,1002.5,100.0,40.0,51.0,24140.0,0.01,0.0,0.32,1.02,2.38,3.13,3.73,281.0,285.0,287.0,290.0,1.9,27.3,26.8,26.2,100.0,0.0,0.0,0.0,25.8,5050.0,15.0,region 7,Thunderstorm no hail,30
region 8_2025-11-17_01,2025-11-17 01:00:00,25.1,93.0,23.9,30.6,0.0,0.0,0.0,0.0,0.0,3.0,1010.6,999.3,99.0,0.0,58.0,24140.0,0.01,0.0,0.22,1.17,2.5,3.05,3.76,211.0,217.0,221.0,230.0,2.2,24.8,24.2,23.6,98.0,0.0,0.0,0.0,24.2,5010.0,110.0,region 8,Rain shower slight,8
region 1_2025-11-17_02,2025-11-17 02:00:00,21.7,,20.7,25.3,0.0,0.0,0.0,0.0,0.0,3.0,1011.1,967.9,100.0,68.0,36.0,14540.0,0.01,0.0,0.16,,1.92,2.06,2.38,329.0,309.0,299.0,292.0,3.1,23.0,22.6,22.1,99.0,0.0,0.0,0.0,20.9,5000.0,30.0,region 1,Thunderstorm no hail,0
region 2_2025-11-17_02,2025-11-17 02:00:00,25.0,95.0,24.2,30.9,0.0,0.0,0.0,0.0,0.0,3.0,1010.0,1003.7,98.0,56.0,74.0,24140.0,0.01,0.0,0.16,0.76,1.5,1.7,2.16,337.0,323.0,315.0,304.0,2.8,25.3,24.8,24.2,79.0,0.0,0.0,0.0,24.4,5020.0,75.0,region 2,Rain shower slight,80
region 3_2025-11-17_02,2025-11-17 02:00:00,24.8,96.0,24.2,30.8,0.0,0.0,0.0,0.0,0.0,45.0,1009.9,997.3,,33.0,58.0,24140.0,-0.0,0.0,0.13,0.54,1.0,1.26,1.75,338.0,307.0,288.0,283.0,1.4,25.4,24.8,24.2,100.0,0.0,,0.0,24.4,4980.0,50.0,region 3,Rain shower slight,13
region 4_2025-11-17_02,2025-11-17 02:00:00,23.5,96.0,22.8,28.4,0.0,0.0,0.0,0.0,0.0,3.0,1010.2,991.8,100.0,3.0,54.0,24140.0,-0.0,0.0,0.12,0.73,1.57,1.94,2.56,254.0,243.0,235.0,239.0,2.8,23.5,23.0,22.4,100.0,0.0,0.0,0.0,23.0,4990.0,160.0,region 4,Thunderstorm no hail,15
region 5_2025-11-17_02,2025-11-17 02:00:00,25.5,91.0,23.9,31.4,0.0,0.0,0.0,0.0,0.0,3.0,1009.6,1004.2,100.0,42.0,65.0,24140.0,-0.0,0.0,0.29,0.22,1.0,1.6,2.2,333.0,276.0,270.0,273.0,1.7,25.4,24.9,24.3,100.0,0.0,0.0,0.0,24.3,4980.0,30.0,region 5,Thunderstorm no hail,13
region 6_2025-11-17_02,2025-11-17 02:00:00,26.9,86.0,24.3,31.7,1.6,0.0,1.6,0.0,0.0,95.0,1009.5,1007.1,98.0,55.0,62.0,24140.0,0.11,0.01,0.5,2.88,3.38,3.61,4.18,290.0,289.0,289.0,291.0,5.7,25.8,25.1,24.5,91.0,0.0,0.0,,25.0,5020.0,50.0,region 6,Thunderstorm no hail,13
region 7_2025-11-17_02,2025-11-17 02:00:00,26.9,91.0,25.3,33.3,0.0,0.0,0.0,0.0,0.0,3.0,1009.4,1001.7,73.0,44.0,42.0,24140.0,0.01,0.0,0.32,0.85,2.18,2.82,3.51,291.0,286.0,287.0,290.0,2.3,27.2,26.9,26.3,20.0,0.0,,0.0,25.7,5010.0,15.0,region 7,Thunderstorm no hail,33
region 8_2025-11-17_02,2025-11-17 02:00:00,24.9,94.0,23.9,30.5,0.0,0.0,0.0,0.0,0.0,3.0,1009.8,998.5,100.0,0.0,61.0,24140.0,0.01,0.0,0.19,0.86,1.86,2.3,2.83,216.0,216.0,214.0,222.0,2.4,24.7,24.2,23.6,100.0,0.0,0.0,0.0,24.2,5010.0,90.0,region 8,Rain shower slight,8
region 1_2025-11-17_03,2025-11-17 03:00:00,21.5,,20.3,24.9,0.0,0.0,0.0,0.0,0.0,3.0,1010.9,967.7,97.0,74.0,22.0,24140.0,0.01,0.0,0.18,1.2,2.11,2.28,2.62,318.0,301.0,293.0,288.0,3.0,23.1,22.6,22.1,85.0,0.0,0.0,0.0,20.6,4980.0,25.0,region 1,Thunderstorm no hail,0
region 2_2025-11-17_03,2025-11-17 03:00:00,24.8,96.0,24.2,30.7,0.0,0.0,0.0,0.0,0.0,45.0,1009.8,1003.5,91.0,59.0,76.0,24140.0,0.01,0.0,0.13,,1.36,1.56,2.11,342.0,324.0,315.0,301.0,3.1,25.1,24.6,24.0,19.0,0.0,0.0,0.0,24.3,5000.0,75.0,region 2,Rain shower slight,75
region 3_2025-11-17_03,2025-11-17 03:00:00,24.8,96.0,24.2,30.8,0.0,0.0,0.0,0.0,0.0,45.0,1009.7,997.1,98.0,49.0,55.0,24140.0,-0.0,0.0,0.13,0.57,1.24,1.5,2.1,315.0,284.0,274.0,273.0,1.3,25.3,24.8,24.1,90.0,0.0,0.0,0.0,24.4,4960.0,30.0,region 3,Rain shower slight,25
region 4_2025-11-17_03,2025-11-17 03:00:00,23.4,95.0,22.6,28.2,0.0,0.0,0.0,0.0,0.0,3.0,1010.0,991.6,100.0,19.0,52.0,24140.0,-0.0,0.0,0.14,0.85,1.84,2.3,2.97,249.0,241.0,236.0,237.0,2.3,23.5,23.0,22.4,100.0,0.0,0.0,0.0,22.8,4940.0,135.0,region 4,Thunderstorm no hail,15
region 5_2025-11-17_03,2025-11-17 03:00:00,25.5,91.0,23.9,31.3,0.1,0.0,0.1,0.0,0.0,3.0,1009.4,1004.0,100.0,47.0,66.0,24140.0,-0.0,0.0,0.29,0.32,1.53,2.14,2.71,252.0,259.0,259.0,266.0,0.8,25.2,24.8,24.1,100.0,0.0,0.0,0.0,24.3,4980.0,40.0,region 5,Thunderstorm no hail,25
